PEDIGREE,Range,Row,Rep,PLOT,TEST,Rust.1,Rust.2,Range_Row,Row.Odd
((GP474GT-B12-B15-B23)/(Tx778/Tx151)-B5-06-1-1-B6),2,3,1,1,NEUI,8,25,2_3,3
((GP722)/(Tx779/Tx780)-B6-04-1-1-B22),2,5,1,2,NEUI,8,25,2_5,5
((GP474GT-B12-B15-B23)/(Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13),2,7,1,3,NEUI,5,30,2_7,7
DKC67-44 (2021),2,9,1,4,NEUI,15,98,2_9,9
((GP474GT-B12-B15-B23)/(Tx777/Tx775)-B5-37-2-1-1-B12),2,11,1,5,NEUI,7,20,2_11,11
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-2-B18),2,13,1,6,NEUI,9,86,2_13,13
((Tx779)/(Tx779/Tx780)-B6-04-2-2-B6),2,15,1,7,NEUI,8,25,2_15,15
((GP739GTCBLLBL)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),2,17,1,8,NEUI,10,30,2_17,17
((GP722)/(Tx777/Tx775)-B5-15-1-1-1-B9),2,19,1,9,NEUI,15,40,2_19,19
((GP739GTCBLLBL)/(Tx778/Tx151)-B5-04-1-3-1-B14),2,21,1,10,NEUI,14,96,2_21,21
((GP724GTCBLL)/(Tx779/Tx780)-B6-04-2-2-B6),2,23,1,11,NEUI,5,15,2_23,23
((LH195RR)/(Tx779/Tx780)-B6-04-2-2-B6),2,25,1,12,NEUI,7,13,2_25,25
((GP737)/(Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13),2,27,1,13,NEUI,7,25,2_27,27
((Tx779)/(Tx777/Tx775)-B5-15-1-1-B28),2,29,1,14,NEUI,10,75,2_29,29
((LH195RR)/(Tx777/Tx775)-B5-39-1-2-B14),2,31,1,15,NEUI,14,45,2_31,31
((GP724GTCBLL)/(Tx779/Tx780)-B6-04-1-1-B22),2,33,1,16,NEUI,6,35,2_33,33
((Tx777-B50)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),2,35,1,17,NEUI,12,55,2_35,35
((GP737)/((CML269/Tx110)/(CML 311/Tx110)-1-B-B-B-B/DTPWC8F31-1-1-2-2-BBBB-B)-B-B-3-1-B-1-B8-1-B18),2,37,1,18,NEUI,15,98,2_37,37
((GP724GTCBLL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-19-4-1-B15),2,39,1,19,NEUI,10,40,2_39,39
BH900VIP3111 (2021),2,41,1,20,NEUI,15,98,2_41,41
((GP737)/(Tx778/Tx151)-B5-04-1-3-1-B14),3,42,1,21,NEUI,14,30,3_41,41
((GP724GTCBLL)/(Tx778/Tx151)-B5-06-1-1-B6),3,40,1,22,NEUI,12,25,3_39,39
((Tx779)/(Tx777/Tx775)-B5-12-2-2-1-B14),3,38,1,23,NEUI,10,25,3_37,37
((GP737)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),3,36,1,24,NEUI,9,27,3_35,35
((LH195RR)/(Tx778/Tx151)-B5-25-1-2-1-B10),3,34,1,25,NEUI,13,35,3_33,33
((GP724GTCBLL)/(Tx778/Tx151)-B5-04-1-3-1-B14),3,32,1,26,NEUI,14,40,3_31,31
((LH195RR)/(Tx779/Tx780)-B6-04-1-1-B22),3,30,1,27,NEUI,5,20,3_29,29
((GP724GTCBLL)/(Tx777/Tx775)-B5-12-2-2-B18),3,28,1,28,NEUI,15,35,3_27,27
(((Tx777/Tx775)-B5-12-2-1-1-B17)/Tx779),3,26,1,29,NEUI,16,45,3_25,25
((LH195RR)/((CML269/Tx110)/(CML 311/Tx110)-1-B-B-B-B/DTPWC8F31-1-1-2-2-BBBB-B)-B-B-3-1-B-1-B8-1-B18),3,24,1,30,NEUI,12,92,3_23,23
((GP722)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),3,22,1,31,NEUI,NA,NA,3_21,21
((LH195RR)/{((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-B12//(CML442-B/CML343-B-B-B-B-B-B)-B-B-1-1-B-B)-B5-selfs B28}-14-1),3,20,1,32,NEUI,15,45,3_19,19
((LH195RR)/(Tx777/Tx775)-B5-37-2-1-1-B12),3,18,1,33,NEUI,7,25,3_17,17
(((Tx777/Tx775)-B5-12-2-2-1-B14)/GP724GTCBLL),3,16,1,34,NEUI,14,35,3_15,15
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-15-1-1-1-B9),3,14,1,35,NEUI,11,25,3_13,13
((GP474GT-B12-B15-B23)/(Tx779/Tx780)-B6-04-1-1-B22),3,12,1,36,NEUI,9,20,3_11,11
((LH195RR)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),3,10,1,37,NEUI,18,70,3_9,9
((LH195RR)/(Tx778/Tx151)-B5-04-1-3-1-B14),3,8,1,38,NEUI,20,90,3_7,7
(((Tx777/Tx775)-B5-12-2-1-1-B17)/GP474GT-B12-B15-B23),3,6,1,39,NEUI,7,30,3_5,5
((GP739GTCBLLBL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),3,4,1,40,NEUI,9,30,3_3,3
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-15-1-1-1-B9),4,3,1,41,NEUI,10,25,4_3,3
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-15-1-1-B28),4,5,1,42,NEUI,10,30,4_5,5
((GP739GTCBLLBL)/(Tx778/Tx151)-B5-06-1-1-B8),4,7,1,43,NEUI,12,40,4_7,7
((WF18 Red Stalker inbred)/Tx779),4,9,1,44,NEUI,8,50,4_9,9
((GP722)/(Tx777/Tx775)-B5-15-1-1-B28),4,11,1,45,NEUI,15,65,4_11,11
((Tx779)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),4,13,1,46,NEUI,10,40,4_13,13
((GP474GT-B12-B15-B23)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-4-2-1-1-1-B7),4,15,1,47,NEUI,4,30,4_15,15
((GP739GTCBLLBL)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),4,17,1,48,NEUI,10,50,4_17,17
((GP722)/(Tx777/Tx775)-B5-12-2-1-B23),4,19,1,49,NEUI,15,98,4_19,19
LG64C30 (2021),4,21,1,50,NEUI,NA,NA,4_21,21
((GP739GTCBLLBL)/((CML288/NC300)-B-9-B1-B-B-B-B-B-B-B-B-1-B8-B7-B17/LH82)-1-2-1),4,23,1,51,NEUI,12,92,4_23,23
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),4,25,1,52,NEUI,14,70,4_25,25
((GP739GTCBLLBL)/((CML285/NC300)-B-6-B-B-B-B-B-B-B/(CML 323/NC300)-B-1-1-B-B-B-B-B)-2-2-B-1-1-B20-1-B21-B13),4,27,1,53,NEUI,10,50,4_27,27
((WF18 Red Stalker inbred)/Tx779),4,29,1,54,NEUI,8,40,4_29,29
((GP737)/(Tx777/Tx775)-B5-12-2-1-1-B17),4,31,1,55,NEUI,12,50,4_31,31
((GP474GT-B12-B15-B23)/(Tx779/Tx780)-B6-04-2-2-B6),4,33,1,56,NEUI,6,35,4_33,33
((LH195RR)/(Tx777/Tx775)-B5-12-2-1-1-B17),4,35,1,57,NEUI,8,80,4_35,35
((GP722)/(Tx777/Tx775)-B5-12-2-2-1-B14),4,37,1,58,NEUI,10,88,4_37,37
((LH195RR)/(Tx777/Tx775)-B5-30-1-1-1-B6),4,39,1,59,NEUI,12,60,4_39,39
(((Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13)/LH195RR),4,41,1,60,NEUI,9,80,4_41,41
((GP724GTCBLL)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),5,42,1,61,NEUI,6,40,5_41,41
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-39-1-2-1-B6),5,40,1,62,NEUI,6,40,5_39,39
((LH195RR)/(Tx777/Tx775)-B5-15-1-1-1-B9),5,38,1,63,NEUI,11,60,5_37,37
((GP724GTCBLL)/(Tx777/Tx775)-B5-15-1-1-B28),5,36,1,64,NEUI,12,60,5_35,35
((GP737)/(Tx778/Tx151)-B5-06-1-1-B8),5,34,1,65,NEUI,6,50,5_33,33
((GP724GTCBLL)/(Tx777/Tx775)-B5-39-1-2-1-B6),5,32,1,66,NEUI,5,30,5_31,31
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-1-1-B17),5,30,1,67,NEUI,10,75,5_29,29
((LH195RR)/(Tx777/Tx775)-B5-15-1-1-B28),5,28,1,68,NEUI,8,65,5_27,27
((LH195RR)/(Tx777/Tx775)-B5-39-1-2-1-B6),5,26,1,69,NEUI,6,45,5_25,25
((GP722)/(Tx779/Tx780)-B6-04-2-2-B6),5,24,1,70,NEUI,6,50,5_23,23
((GP474GT-B12-B15-B23)/(Tx777/Tx775)-B5-12-2-1-B23),5,22,1,71,NEUI,7,60,5_21,21
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-2-1-B14),5,20,1,72,NEUI,14,80,5_19,19
