"DAP","Env","LON","LAT","DOY","YYYYMMDD","daysFromStart","T2M","T2M_MAX","T2M_MIN","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","ALLSKY_SFC_SW_DNI","ALLSKY_SFC_PAR_TOT","ALLSKY_SFC_UVA","ALLSKY_SFC_UVB","PRECTOT","EVPTRNS","QV2M","RH2M","GWETROOT","GWETTOP","FROST_DAYS","WS2M","P_ETP","VPD","N","RTA","n","TH1","TH2","n.1","N.1","RTA.1","VPD.1","SPV","ETP","PETP","GDD","FRUE","T2M_RANGE","PTT","PTR","PAR_TEMP"
1,"TXH2.2021",-96.4284433,30.5378851,69,"2021-03-10",1,19.13,25.95,13.7,15.94,32.07,12.72,3.08,6.04,0.81,0.02,0.01,2.12,11.28,83.35,0.6,0.6,0,3.98,-2.11,0.648281115,11.781,30.208,1.201,65.66165645,66.0684,4.89665988174194,11.6288080851449,30.2080280059032,0.648281115442343,0.1434861746437,5.61385545243545,-5.60385545243545,11.825,0.5375,12.25,139.310325,0.996279069767442,0.315734449
2,"TXH2.2021",-96.4284433,30.5378851,70,"2021-03-11",2,21.06,26.38,18.01,17.63,33.39,11.79,3.26,5.62,0.76,0.02,0.02,2.44,12.52,82.19,0.6,0.59,0,3.77,-2.42,0.735007406,11.812,30.413,1.266,68.74155186,68.6068,4.52023666340892,11.6601730231735,30.4128854703685,0.735007406482262,0.162950934642307,5.2928667961244,-5.2728667961244,14.195,0.645227272727273,8.37,167.67134,0.832123987319479,0.2668566
3,"TXH2.2021",-96.4284433,30.5378851,71,"2021-03-12",3,21.82,28.2,17.73,17.95,33.52,11.6,3.74,5.57,0.76,0.02,0.05,2.88,12.76,80.72,0.6,0.59,0,3.39,-2.83,0.869152668,11.843,30.617,1.447,69.86821296,69.482,4.42961848687464,11.6916006139358,30.6172117358454,0.869152667687562,0.169736055498856,5.23408701014311,-5.18408701014311,14.965,0.680227272727273,10.47,177.230495,0.791379886401604,0.255270394
4,"TXH2.2021",-96.4284433,30.5378851,72,"2021-03-13",4,21.16,27.2,17.13,16.98,31.84,13.12,3.47,6.25,0.85,0.02,0.26,2.54,12.03,79.4,0.59,0.58,0,3.77,-2.28,0.845267102,11.874,30.821,1.337,68.7184296,68.4728,4.99033937064393,11.7230848226985,30.8209244803241,0.845267101665222,0.162691285363454,5.88875059946649,-5.62875059946649,14.165,0.643863636363636,10.07,168.19521,0.83826332509707,0.29536862
5,"TXH2.2021",-96.4284433,30.5378851,73,"2021-03-14",5,15.97,19.62,8.66,11.84,31.26,5.9,1.38,3.05,0.45,0.01,4.79,0.57,9.23,78.97,0.6,0.6,0,2.23,4.22,0.315052838,11.905,31.024,0.53,60.42838391,61.4324,2.23544302826407,11.7546196741571,31.0239425477025,0.315052838214036,0.104648571490615,2.47399696730161,2.31600303269839,6.14,0.279090909090909,10.96,73.0967,1.93892508143322,0.190983093
6,"TXH2.2021",-96.4284433,30.5378851,74,"2021-03-15",6,16.74,27.68,5.91,8.79,27.2,22.8,28.65,9.99,1.27,0.03,0.09,3.2,7.39,66.36,0.59,0.58,0,1.61,-3.11,1.187771071,11.936,31.226,10.951,61.36749736,61.1044,8.60576897538379,11.7861992466544,31.2261860145666,1.18777107099587,0.121497727049756,9.81132931668886,-9.72132931668886,9.84,0.399772727272727,21.77,117.45024,1.2130081300813,0.596774194
7,"TXH2.2021",-96.4284433,30.5378851,75,"2021-03-16",7,20.9,28.28,14.03,18.39,33.48,12.48,6.5,5.92,0.8,0.02,1.76,2.06,13.35,84.93,0.59,0.58,0,2.19,-0.3,0.606688667,11.967,31.428,2.475,68.6568763,68.7204,4.69289655932406,11.8178176662962,31.4275762550835,0.606688667169794,0.154151333691465,5.56238627170543,-3.80238627170543,13.155,0.597954545454546,14.25,157.425885,0.909692132269099,0.283253589
8,"TXH2.2021",-96.4284433,30.5378851,76,"2021-03-17",8,19.46,26.06,10,9.56,28.88,17.86,20.05,7.88,1.02,0.03,4.8,3.21,8.48,59.84,0.59,0.59,0,4.1,1.59,1.108412781,11.998,31.628,7.606,65.03389536,64.1016,6.69126334994125,11.8494691009746,31.6280360038833,1.10841278082105,0.130087343642913,7.76912259228828,-2.96912259228828,10.03,0.455909090909091,16.06,120.33994,1.19621136590229,0.404933196
9,"TXH2.2021",-96.4284433,30.5378851,77,"2021-03-18",9,11.59,18.83,5.59,1.48,23.37,24.92,37.45,10.9,1.38,0.03,0,1.77,4.21,52.34,0.59,0.57,0,4,-1.77,0.861708692,12.029,31.827,14.154,54.20882394,53.3228,9.30259368434982,11.8811477543144,31.8274894168086,0.861708692271243,0.093686198735366,10.2288726728525,-10.2288726728525,5.415,0.191363636363636,13.24,65.137035,2.22142197599261,NA
10,"TXH2.2021",-96.4284433,30.5378851,78,"2021-03-19",10,11.13,18.66,4.49,4.86,23.85,24.36,33.78,10.68,1.34,0.03,0,1.51,5.32,68.44,0.58,0.56,0,2.66,-1.51,0.632632967,12.06,32.026,12.721,53.06957828,54.0796,9.06133214106707,11.9128478595505,32.025862129415,0.632632967436481,0.0903003760398895,9.92401409403577,-9.92401409403577,5.33,0.1625,14.17,64.2798,2.26266416510319,NA
